college_name,choice_code,branch,category_code,percentile,stage,year
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,LSC,84.34,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,LST,66.65,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,LOBC,89.14,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110724210,Computer Science and Engineering,EWS,83.03,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,GOPEN,70.82,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,LOPEN,82.18,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,LSC,76.79,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,LOBC,77.59,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110737210,Electronics and Telecommunication Engg,EWS,84.88,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,GOPEN,78.92,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,GSC,70.56,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,GOBC,71.59,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,LOPEN,87.64,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,EWS,79.03,Stage-I,2021
"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",110761210,Mechanical Engineering,LOPEN,68.97,Stage-II,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,GOPEN,88.46,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,GSC,86.44,Stage-I,2021
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",111424610,Information Technology,GNTA,80.25,Stage-I,2021
